               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                  OH*                   OH                  CO2
                  66               108456         6.4999999999999929E+00         1.0175000000000001E+01        -8.1000000000001897E+00                   0                    6                 2490                    0
                  67               108744         6.5999999999999925E+00         1.0170000000000000E+01        -5.4000000000001904E+00                   0                    4                 2492                    0
                  68               109005         6.6999999999999922E+00         1.0165000000000001E+01        -4.0500000000001908E+00                   0                    3                 2493                    0
                  69               109239         6.7999999999999918E+00         1.0160000000000000E+01        -4.0500000000001908E+00                   0                    3                 2493                    0
                  70               109410         6.8999999999999915E+00         1.0155000000000001E+01        -2.7000000000001907E+00                   0                    2                 2494                    0
                  71               109599         6.9999999999999911E+00         1.0150000000000000E+01        -4.0500000000001908E+00                   0                    3                 2493                    0
                  72               109769         7.0999999999999908E+00         1.0145000000000000E+01        -6.7500000000001901E+00                   0                    5                 2491                    0
                  73               109932         7.1999999999999904E+00         1.0140000000000001E+01        -2.7000000000001907E+00                   0                    2                 2494                    0
                  74               110084         7.2999999999999901E+00         1.0135000000000000E+01        -1.9051427102567686E-13                   0                    0                 2496                    0
                  75               110215         7.3999999999999897E+00         1.0130000000000001E+01        -1.3500000000001906E+00                   0                    1                 2495                    0
                  76               110334         7.4999999999999893E+00         1.0125000000000000E+01        -1.9051427102567686E-13                   0                    0                 2496                    0
                  77               110419         7.5999999999999890E+00         1.0120000000000001E+01        -1.3500000000001906E+00                   0                    1                 2495                    0
                  78               110524         7.6999999999999886E+00         1.0115000000000000E+01        -1.9051427102567686E-13                   0                    0                 2496                    0
                  79               110588         7.7999999999999883E+00         1.0110000000000001E+01        -1.9051427102567686E-13                   0                    0                 2496                    0
                  80               110679         7.8999999999999879E+00         1.0105000000000000E+01        -1.3500000000001906E+00                   0                    1                 2495                    0
                  81               110762         7.9999999999999876E+00         1.0100000000000001E+01        -1.9051427102567686E-13                   0                    0                 2496                    0
